iter	RMSE
0	14.55737635
1	14.17739632
2	13.83822479
3	13.4771143
4	13.15026093
5	12.8331294
6	12.53125453
7	12.26151211
8	11.99119187
9	11.70282933
10	11.41699353
11	11.1695597
12	10.93035535
13	10.69239635
14	10.46409103
15	10.2265648
16	10.00878236
17	9.811649716
18	9.601390556
19	9.424060245
20	9.261788522
21	9.095528422
22	8.92518672
23	8.763509629
24	8.608732054
25	8.46741098
26	8.330334948
27	8.211780116
28	8.087710711
29	7.970559522
30	7.876655734
31	7.770388878
32	7.669543899
33	7.567392491
34	7.465023784
35	7.372289544
36	7.276274945
37	7.196616294
38	7.109307993
39	7.025539846
40	6.951105748
41	6.885795696
42	6.814332445
43	6.757729295
44	6.691655273
45	6.627912151
46	6.562020322
47	6.505931558
48	6.4462471
49	6.3951244
50	6.344949799
51	6.290775597
52	6.243758725
53	6.201401207
54	6.160101914
55	6.120882175
56	6.079582967
57	6.045631701
58	6.01419806
59	5.983214148
60	5.953212349
61	5.918748728
62	5.889106081
63	5.85752051
64	5.827419114
65	5.796559532
66	5.771146652
67	5.746857201
68	5.727356208
69	5.7033604
70	5.67990919
71	5.659037558
72	5.640893525
73	5.618624798
74	5.601155932
75	5.580358103
76	5.563060535
77	5.542881727
78	5.525930852
79	5.508069277
80	5.491842364
81	5.478364616
82	5.463310529
83	5.450399123
84	5.43704814
85	5.41925356
86	5.406592278
87	5.395343875
88	5.385261445
89	5.370226498
90	5.359846945
91	5.349839745
92	5.340063187
93	5.327762218
94	5.323926544
95	5.31072459
96	5.300195618
97	5.291259136
98	5.28563836
99	5.275346681
100	5.269062669
101	5.255032212
102	5.247087375
103	5.241048492
104	5.232674898
105	5.223015721
106	5.215153388
107	5.206912495
108	5.195861298
109	5.189157451
110	5.183151233
111	5.177120207
112	5.17292799
113	5.165751576
114	5.160819065
115	5.152305349
116	5.147319973
117	5.142027046
118	5.134615017
119	5.127869298
120	5.124953967
121	5.115428582
122	5.112079919
123	5.105667172
124	5.101045161
125	5.091123978
126	5.080730562
127	5.074684592
128	5.067222356
129	5.062530819
130	5.053517971
131	5.048277617
132	5.039057909
133	5.032156267
134	5.023735875
135	5.020613293
136	5.016085697
137	5.012769925
138	5.009357252
139	5.004956278
140	4.999961155
141	4.995355773
142	4.992578895
143	4.985974275
144	4.980831958
145	4.971442278
146	4.962720276
147	4.954915629
148	4.948205262
149	4.945151862
150	4.940855436
151	4.935641286
152	4.927996081
153	4.925076155
154	4.920738984
155	4.914635492
156	4.910771454
157	4.905783287
158	4.902973229
159	4.897526914
160	4.893101668
161	4.888951595
162	4.886390601
163	4.883977622
164	4.879159926
165	4.875630345
166	4.872525024
167	4.869217262
168	4.866446399
169	4.861299658
170	4.857832564
171	4.854188793
172	4.846888586
173	4.843254042
174	4.839127476
175	4.834400496
176	4.830807392
177	4.826793045
178	4.825428126
179	4.823165617
180	4.820196689
181	4.81637281
182	4.812886122
183	4.81040573
184	4.806812744
185	4.801762613
186	4.795331906
187	4.791592765
188	4.788011519
189	4.783492809
190	4.780938603
191	4.778081417
192	4.775030438
193	4.769315174
194	4.763040272
195	4.759051366
196	4.756262726
197	4.752440676
198	4.749736999
199	4.747913677
200	4.745409914
201	4.742176744
202	4.738570579
203	4.73155745
204	4.727313947
205	4.724116171
206	4.720264932
207	4.717733076
208	4.714023554
209	4.711926395
210	4.707861361
211	4.705149273
212	4.702775869
213	4.695754116
214	4.688448395
215	4.684676833
216	4.681508117
217	4.678765011
218	4.676138656
219	4.674559198
220	4.671671654
221	4.664318824
222	4.660027001
223	4.658181493
224	4.655844089
225	4.654408408
226	4.649686866
227	4.64591848
228	4.644245523
229	4.640191771
230	4.634842095
231	4.62937945
232	4.626053282
233	4.620220128
234	4.615434949
235	4.610986837
236	4.604241802
237	4.602860416
238	4.602304682
239	4.601181863
240	4.597341964
241	4.595728798
242	4.594036151
243	4.589473403
244	4.588527297
245	4.586799909
246	4.583155032
247	4.580642936
248	4.577725066
249	4.575142532
250	4.572541698
251	4.571390435
252	4.566595521
253	4.564616736
254	4.560752141
255	4.557356525
256	4.556224251
257	4.550537048
258	4.543871173
259	4.539871641
260	4.533251302
261	4.530101196
262	4.527171897
263	4.522875534
264	4.518951233
265	4.51316553
266	4.510994547
267	4.505092546
268	4.501814716
269	4.501293197
270	4.498586887
271	4.492020807
272	4.485983308
273	4.481858477
274	4.479777912
275	4.474897215
276	4.469972991
277	4.46363302
278	4.457968929
279	4.453700612
280	4.452253896
281	4.447264073
282	4.445453453
283	4.444350537
284	4.43833126
285	4.436222156
286	4.43266531
287	4.430094087
288	4.428712538
289	4.426682391
290	4.421866026
291	4.420120788
292	4.418807264
293	4.413780045
294	4.411839514
295	4.409228497
296	4.405149231
297	4.396924151
